2025-06-11 15:25:29 - Face detected at X:276, Y:159, W:181, H:181
2025-06-11 15:25:29 - Face detected at X:278, Y:160, W:178, H:178
2025-06-11 15:25:29 - Face detected at X:277, Y:161, W:174, H:174
2025-06-11 15:25:29 - Face detected at X:274, Y:160, W:180, H:180
2025-06-11 15:25:29 - Face detected at X:273, Y:160, W:178, H:178
2025-06-11 15:25:29 - Face detected at X:273, Y:160, W:178, H:178
2025-06-11 15:25:29 - Face detected at X:268, Y:157, W:180, H:180
2025-06-11 15:25:29 - Face detected at X:268, Y:161, W:177, H:177
2025-06-11 15:25:29 - Face detected at X:265, Y:158, W:180, H:180
2025-06-11 15:25:29 - Face detected at X:263, Y:160, W:180, H:180
2025-06-11 15:25:29 - Face detected at X:260, Y:159, W:181, H:181
2025-06-11 15:25:29 - Face detected at X:259, Y:158, W:182, H:182
2025-06-11 15:25:29 - Face detected at X:255, Y:155, W:187, H:187
2025-06-11 15:25:29 - Face detected at X:254, Y:154, W:189, H:189
2025-06-11 15:25:29 - Face detected at X:252, Y:153, W:191, H:191
2025-06-11 15:25:29 - Face detected at X:251, Y:150, W:195, H:195
2025-06-11 15:25:29 - Face detected at X:258, Y:156, W:183, H:183
2025-06-11 15:25:29 - Face detected at X:259, Y:153, W:188, H:188
2025-06-11 15:25:29 - Face detected at X:257, Y:152, W:190, H:190
2025-06-11 15:25:29 - Face detected at X:259, Y:150, W:194, H:194
2025-06-11 15:25:29 - Face detected at X:256, Y:147, W:203, H:203
2025-06-11 15:25:29 - Face detected at X:257, Y:145, W:205, H:205
2025-06-11 15:25:29 - Face detected at X:255, Y:143, W:213, H:213
2025-06-11 15:25:29 - Face detected at X:262, Y:146, W:202, H:202
2025-06-11 15:25:29 - Face detected at X:262, Y:143, W:208, H:208
2025-06-11 15:25:29 - Face detected at X:264, Y:142, W:206, H:206
2025-06-11 15:25:29 - Face detected at X:269, Y:143, W:200, H:200
2025-06-11 15:25:29 - Face detected at X:264, Y:135, W:215, H:215
2025-06-11 15:25:29 - Face detected at X:462, Y:389, W:54, H:54
2025-06-11 15:25:29 - Face detected at X:278, Y:141, W:203, H:203
2025-06-11 15:25:29 - Face detected at X:269, Y:133, W:216, H:216
2025-06-11 15:25:29 - Face detected at X:267, Y:129, W:225, H:225
2025-06-11 15:25:29 - Face detected at X:470, Y:388, W:54, H:54
2025-06-11 15:25:30 - Face detected at X:274, Y:134, W:219, H:219
2025-06-11 15:25:30 - Face detected at X:471, Y:388, W:54, H:54
2025-06-11 15:25:30 - Face detected at X:276, Y:133, W:217, H:217
2025-06-11 15:25:30 - Face detected at X:474, Y:387, W:54, H:54
2025-06-11 15:25:30 - Face detected at X:270, Y:129, W:230, H:230
2025-06-11 15:25:30 - Face detected at X:277, Y:132, W:223, H:223
2025-06-11 15:25:30 - Face detected at X:473, Y:389, W:54, H:54
2025-06-11 15:25:30 - Face detected at X:282, Y:136, W:214, H:214
2025-06-11 15:25:30 - Face detected at X:473, Y:389, W:55, H:55
2025-06-11 15:25:30 - Face detected at X:283, Y:138, W:210, H:210
2025-06-11 15:25:30 - Face detected at X:473, Y:389, W:55, H:55
2025-06-11 15:25:30 - Face detected at X:282, Y:136, W:212, H:212
2025-06-11 15:25:30 - Face detected at X:472, Y:388, W:55, H:55
2025-06-11 15:25:30 - Face detected at X:284, Y:137, W:214, H:214
2025-06-11 15:25:30 - Face detected at X:284, Y:138, W:207, H:207
2025-06-11 15:25:30 - Face detected at X:282, Y:136, W:205, H:205
2025-06-11 15:25:30 - Face detected at X:279, Y:132, W:214, H:214
2025-06-11 15:25:30 - Face detected at X:282, Y:140, W:198, H:198
2025-06-11 15:25:30 - Face detected at X:280, Y:138, W:201, H:201
2025-06-11 15:25:30 - Face detected at X:281, Y:137, W:198, H:198
2025-06-11 15:25:30 - Face detected at X:278, Y:138, W:198, H:198
2025-06-11 15:25:30 - Face detected at X:280, Y:138, W:198, H:198
2025-06-11 15:25:30 - Face detected at X:280, Y:139, W:193, H:193
2025-06-11 15:25:30 - Face detected at X:279, Y:140, W:192, H:192
2025-06-11 15:25:30 - Face detected at X:274, Y:138, W:202, H:202
2025-06-11 15:25:30 - Face detected at X:275, Y:138, W:201, H:201
2025-06-11 15:25:30 - Face detected at X:272, Y:140, W:197, H:197
2025-06-11 15:25:30 - Face detected at X:271, Y:140, W:198, H:198
2025-06-11 15:25:30 - Face detected at X:272, Y:141, W:195, H:195
2025-06-11 15:25:30 - Face detected at X:358, Y:224, W:159, H:159
2025-06-11 15:25:30 - Face detected at X:268, Y:138, W:203, H:203
2025-06-11 15:25:30 - Face detected at X:269, Y:139, W:202, H:202
2025-06-11 15:25:30 - Face detected at X:271, Y:139, W:200, H:200
2025-06-11 15:25:30 - Face detected at X:358, Y:225, W:162, H:162
